Data,Acao,Valor,Ano
26-06-2019,B3SA3,0.06349,2019
26-12-2018,B3SA3,0.068975,2018
27-03-2019,B3SA3,0.064317,2019
27-03-2024,B3SA3,0.052453,2024
28-02-2024,B3SA3,0.0669,2024
28-06-2018,B3SA3,0.073716,2018
28-06-2023,B3SA3,0.115354,2023
29-03-2021,B3SA3,0.038161,2021
29-03-2023,B3SA3,0.06023,2023
29-06-2022,B3SA3,0.130776,2022
29-09-2021,B3SA3,0.19461,2021
29-09-2023,B3SA3,0.10523,2023
30-06-2021,B3SA3,0.214651,2021
02-05-2016,BALM3,0.09,2016
02-05-2017,BALM3,0.15,2017
02-05-2018,BALM3,0.12,2018
02-05-2019,BALM3,0.14,2019
02-05-2022,BALM3,0.251416,2022
02-05-2023,BALM3,0.11,2023
03-05-2021,BALM3,0.34,2021
04-01-2016,BALM3,0.12,2016
04-05-2015,BALM3,0.35,2015
05-01-2023,BALM3,0.105882,2023
06-08-2020,BALM3,0.26,2020
06-12-2023,BALM3,0.776471,2023
20-12-2024,BALM3,0.717647,2024
30-04-2020,BALM3,0.092,2020
02-05-2016,BALM4,0.27,2016
02-05-2017,BALM4,0.15,2017
02-05-2018,BALM4,0.12,2018
02-05-2019,BALM4,0.14,2019
02-05-2022,BALM4,0.251416,2022
02-05-2023,BALM4,0.11,2023
03-05-2021,BALM4,0.41,2021
04-01-2016,BALM4,0.12,2016
04-05-2015,BALM4,0.0875,2015
05-01-2023,BALM4,0.105882,2023
06-08-2020,BALM4,0.26,2020
06-12-2023,BALM4,0.776471,2023
20-12-2024,BALM4,0.717647,2024
01-02-2023,BARI11,0.9,2023
01-02-2024,BARI11,0.9563,2024
01-03-2023,BARI11,0.9,2023
01-03-2024,BARI11,0.9,2024
01-04-2022,BARI11,1.1,2022
01-04-2024,BARI11,0.76,2024
01-06-2022,BARI11,1.45,2022
