Ano,Acao,Valor
2018,CPLE3,0.280086
2019,CPLE3,0.25867
2020,CPLE3,0.281832
2021,CPLE3,0.6567449999999999
2022,CPLE3,0.902585
2023,CPLE3,0.304025
2024,CPLE3,0.385905
2015,CPLE6,0.092777
2016,CPLE6,0.125438
2017,CPLE6,0.194287
2018,CPLE6,0.30805099999999996
2019,CPLE6,0.284493
2020,CPLE6,0.309929
2021,CPLE6,1.201985
2022,CPLE6,0.992572
2023,CPLE6,0.334427
2024,CPLE6,0.424496
2017,CPTS11B,0.158182
2022,CPTS11B,1.8620000000000005
2023,CPTS11B,1.758
2024,CPTS11B,0.8959999999999999
2018,CRFB3,0.35160199999999997
2019,CRFB3,0.282293
2020,CRFB3,0.248841
2021,CRFB3,1.192336
2022,CRFB3,0.346248
2023,CRFB3,0.147778
2024,CRFB3,0.094829
2016,CRIV3,0.18314
2018,CRIV3,0.044980000000000006
2019,CRIV3,0.02116
2020,CRIV3,0.0349
2022,CRIV3,0.02505
2015,CRIV4,0.31950999999999996
2016,CRIV4,0.35971
2017,CRIV4,0.35977000000000003
2018,CRIV4,0.37646999999999997
2019,CRIV4,0.32342000000000004
2020,CRIV4,0.48649
2021,CRIV4,0.45359000000000005
2022,CRIV4,0.46146
2023,CRIV4,0.47977000000000003
2024,CRIV4,0.24276
2016,CRPG5,0.192
2017,CRPG5,0.248
2018,CRPG5,3.796614
2019,CRPG5,0.61133
2020,CRPG5,0.139292
2021,CRPG5,5.758849
2022,CRPG5,4.755181
2023,CRPG5,4.945289
2024,CRPG5,0.289468
2016,CRPG6,0.192
2017,CRPG6,0.248
2018,CRPG6,3.796614
2019,CRPG6,0.61133
2020,CRPG6,0.139292
2021,CRPG6,4.035824999999999
2022,CRPG6,4.7551820000000005
2023,CRPG6,4.945289
2024,CRPG6,0.278573
2015,CSAN3,0.16939500000000002
2016,CSAN3,0.538346
2017,CSAN3,0.232915
2018,CSAN3,0.277158
2019,CSAN3,0.249943
2020,CSAN3,0.374438
2021,CSAN3,0.6322669999999999
2022,CSAN3,0.42811
2023,CSAN3,0.42858
2024,CSAN3,0.451477
2015,CSCO34,0.527682
2016,CSCO34,0.689192
2017,CSCO34,0.71902
2018,CSCO34,0.902895
