"Ticker","Nome","Negócios","Última (R$)","Variação"
"BMEB3","Banco Mercantil do Brasil","100","34,50","-0,86%"
"CTKA4","Karsten","100","25,50","-1,92%"
"MWET4","Wetzel","100","10,28","-2,10%"
"HETA4","Hercules","100","5,67","+0,35%"
"DOHL4","Döhler","100","4,09","+4,60%"
"ESTR4","Estrela","100","3,50","+0,00%"
"BIOM11","Biomm","100","0,30","+0,00%"
"BMKS3","Monark","1","355,00","-1,39%"
"CGRA3","Grazziotin","700","25,32","-1,67%"
"AFLT3","Afluente T","700","7,29","+11,64%"
"NORD3","Nordon","500","5,50","-0,90%"
"TKNO4","Tekno","300","69,00","+1,47%"
"UNIP5","Unipar","200","47,20","+0,43%"
"BDLL3","Bardella","200","10,00","-1,09%"
"ENMT3","Energisa MT","100","83,99","+0,00%"
"HBTS5","Habitasul","100","30,00","+8,30%"
"GPAR3","CELGPAR","100","22,91","-8,36%"
"JOPA3","Josapar","100","21,00","+0,00%"
"PINE11","Banco Pine","100","6,90","-0,58%"
"PSVM11","PORTO VM","100","4,21","-13,02%"
"CEDO3","Cedro Têxtil","600","25,20","-1,95%"
"BALM4","Baumer","300","10,50","-1,87%"
"BRKM6","Braskem","200","7,75","-0,64%"
"BRSR5","Banrisul","100","14,00","-6,67%"
"BDLL4","Bardella","100","9,20","-5,15%"
"HOOT4","Hotéis Othon","900","2,28","+1,79%"
"EQMA3B","Equatorial Maranhão","400","24,73","+0,20%"
"FESA3","Ferbasa","300","12,00","+1,69%"
"CPLE5","Copel","200","11,94","+0,00%"
"ENMT4","Energisa MT","100","77,60","+0,00%"
"MRSA6B","MRS Logística","100","27,90","-5,42%"
"MTSA3","Metisa","8.000","70,00","-10,88%"
"PATI3","Panatlântica","700","24,00","-4,34%"
"MERC4","Mercantil do Brasil Financeira","500","9,51","+0,11%"
"WLMM3","WLM","400","27,00","+3,85%"
"BALM3","Baumer","100","15,40","+0,00%"
"EQPA5","Equatorial Energia Pará","100","7,60","+0,00%"
"MRSA3B","MRS Logística","800","32,00","+6,99%"
"CGAS3","Comgás","100","120,09","-0,83%"
"DOHL3","Döhler","100","6,00","+0,00%"
"MAPT4","Cemepe","100","4,30","+1,18%"
"CTKA3","Karsten","300","34,09","+4,25%"
"DTCY3","Dtcom","100","4,15","+7,79%"
"TKNO3","Tekno","100","99,98","+88,64%"
